split,model,n,prevalence,roc_auc,average_precision,balanced_accuracy,sensitivity,specificity,precision,f1,mcc,brier,roc_auc_ci_low,roc_auc_ci_high,ap_ci_low,ap_ci_high
random,dummy,138,0.3695652173913043,0.5,0.3695652173913043,0.5,0.0,1.0,0.0,0.0,0.0,0.23298756820840325,0.5,0.5,0.2898550724637681,0.45652173913043476
random,descriptor_logistic,138,0.3695652173913043,0.6506648636466081,0.4895298361573713,0.6230561189993239,0.7058823529411765,0.5402298850574713,0.47368421052631576,0.5669291338582677,0.23882252358285763,0.2465282995920972,0.5499065354434944,0.7390431273763752,0.36608698407537155,0.6370490200021973
random,descriptor_random_forest,138,0.3695652173913043,0.6646382691007439,0.5712876222071748,0.5899256254225829,0.49019607843137253,0.6896551724137931,0.4807692307692308,0.4854368932038835,0.1791460676243518,0.22621527900242008,0.5667199502625034,0.7521787684340875,0.438916336414567,0.704438709281917
random,descriptor_hist_gradient_boosting,138,0.3695652173913043,0.6281271129141311,0.5121119081368246,0.5824881676808654,0.5098039215686274,0.6551724137931034,0.4642857142857143,0.48598130841121495,0.16216809946355315,0.28225301503938577,0.5229469428053353,0.7199324223416965,0.38813048285911306,0.6494850781441596
random,fingerprint_logistic,138,0.3695652173913043,0.7045300878972279,0.6112382593771524,0.6463826910074375,0.5686274509803921,0.7241379310344828,0.5471698113207547,0.5576923076923077,0.29054743050946824,0.21454264674761367,0.6132949217358642,0.7879652031063321,0.4757534822980785,0.7467865690434191
scaffold,dummy,158,0.35443037974683544,0.5,0.35443037974683544,0.5,0.0,1.0,0.0,0.0,0.0,0.22930054908953193,0.5,0.5,0.27848101265822783,0.4240506329113924
scaffold,descriptor_logistic,158,0.35443037974683544,0.7142857142857143,0.6358185495181098,0.6449579831932774,0.6428571428571429,0.6470588235294118,0.5,0.5625,0.2784522677748599,0.21217695647409437,0.6251482479784366,0.7930384412088309,0.5110678548305695,0.7524396672883478
scaffold,descriptor_random_forest,158,0.35443037974683544,0.7093837535014005,0.6195995474629354,0.6386554621848739,0.5714285714285714,0.7058823529411765,0.5161290322580645,0.5423728813559322,0.27166245220330015,0.20672937199409588,0.6216290518199468,0.7890055091401644,0.4940313638015215,0.74077048901355
scaffold,descriptor_hist_gradient_boosting,158,0.35443037974683544,0.7039565826330533,0.5842902317880099,0.6689425770308124,0.5535714285714286,0.7843137254901961,0.5849056603773585,0.5688073394495413,0.3423187008665629,0.2284545442271375,0.6145165009509357,0.7845565570362847,0.46164406914201495,0.700712458647226
scaffold,fingerprint_logistic,158,0.35443037974683544,0.7424719887955182,0.6033341854656752,0.6792717086834734,0.6428571428571429,0.7156862745098039,0.5538461538461539,0.5950413223140496,0.34852802101671937,0.19924478131386755,0.6585963488527071,0.8186516019011032,0.47322179079968074,0.7345270665913752
pseudo_temporal,dummy,127,0.16535433070866143,0.5,0.16535433070866143,0.5,0.0,1.0,0.0,0.0,0.0,0.2089010418564625,0.5,0.5,0.10236220472440945,0.23622047244094488
pseudo_temporal,descriptor_logistic,127,0.16535433070866143,0.6675651392632524,0.25546453149727555,0.6408355795148248,0.8571428571428571,0.42452830188679247,0.22784810126582278,0.36,0.2158096182446375,0.310443870526461,0.5453905700211119,0.7857142857142857,0.16645975057066742,0.42945318738202076
pseudo_temporal,descriptor_random_forest,127,0.16535433070866143,0.7053009883198562,0.40803805283479294,0.6358939802336029,0.8095238095238095,0.46226415094339623,0.22972972972972974,0.35789473684210527,0.20475711415904527,0.28803955895888383,0.5749108053007135,0.8308097784568372,0.22819782564768606,0.6052433775977846
pseudo_temporal,descriptor_hist_gradient_boosting,127,0.16535433070866143,0.6819407008086253,0.352342087994657,0.5835579514824798,0.7142857142857143,0.4528301886792453,0.2054794520547945,0.3191489361702128,0.12558045432354836,0.3537418707791898,0.5592510005717553,0.8053509208142948,0.19678722735016332,0.5517087830087972
pseudo_temporal,fingerprint_logistic,127,0.16535433070866143,0.6626235399820305,0.3195119563821209,0.6168014375561546,0.7619047619047619,0.4716981132075472,0.2222222222222222,0.34408602150537637,0.17514315577477657,0.30624983173837866,0.5377635172798215,0.7848701298701298,0.17778114569917008,0.5185617435929769
